"Studio_Units","One_Bedroom_Units","Two_Bedroom_Units","Three_Bedroom_Units","Four_Bedroom_Units","Five_Bedroom_Units","Six_Bedroom_Units","Total_Units","Start Year","Latitude","Longitude"
8,5,1,0,0,0,0,44,2022,40.876331,-73.886974
0,22,7,2,10,0,0,41,2022,40.686079,-73.967397
4,11,3,0,0,0,0,60,2022,40.570817,-73.854379
33,58,47,23,0,0,0,200,2022,40.790446,-73.969766
2,34,13,0,0,0,0,49,2022,40.833453,-73.926292
0,67,28,0,0,0,0,375,2022,40.650632,-73.973191
4,5,0,0,0,0,0,28,2022,40.654235,-73.948741
0,35,15,0,0,0,0,197,2022,40.67268,-73.986791
0,7,83,45,0,0,0,135,2022,40.878305,-73.834946
0,7,2,0,0,0,0,28,2022,40.695884,-73.901359
0,38,12,0,0,0,0,50,2022,40.850784,-73.887227
0,11,15,5,0,0,0,31,2022,40.853802,-73.883231
0,10,18,1,0,0,0,29,2022,40.853612,-73.88257
0,23,29,6,0,0,0,58,2022,40.840612,-73.912796
0,43,12,5,0,0,0,60,2022,40.839607,-73.914836
0,11,0,0,0,0,0,12,2022,40.822607,-73.915869
0,9,0,0,0,0,0,29,2022,40.634605,-73.972434
1,2,0,0,0,0,0,10,2022,40.827879,-73.889965
1,0,2,0,0,0,0,10,2022,40.827539,-73.889973
1,5,0,0,0,0,0,10,2022,40.857596,-73.895653
1,5,0,0,0,0,0,10,2022,40.857558,-73.895678
0,0,10,0,0,0,0,32,2022,40.863582,-73.892672
4,0,2,0,0,0,0,18,2022,40.652731,-73.947967
45,12,0,1,0,0,0,58,2022,40.640688,-73.938903
3,4,7,0,0,0,0,44,2022,40.617127,-73.979134
0,6,0,0,0,0,0,7,2022,40.661041,-73.930346
0,0,7,0,0,0,0,22,2022,40.667082,-73.903301
0,4,0,0,0,0,0,12,2022,40.728445,-73.854439
0,7,1,0,0,0,0,24,2022,40.707493,-73.949518
16,3,0,0,0,0,0,20,2022,40.841096,-73.909499
0,1,2,0,0,0,0,8,2022,40.672781,-73.90737
0,2,1,0,0,0,0,8,2022,40.688964,-73.90734
0,2,1,0,0,0,0,8,2022,40.688997,-73.907308
0,7,0,0,0,0,0,8,2022,40.85193,-73.918272
3,1,0,0,0,0,0,12,2022,40.851395,-73.894618
0,3,0,0,0,0,0,8,2022,40.665383,-73.914496
0,13,10,1,0,0,0,25,2022,40.852066,-73.890005
125,9,13,0,0,0,0,147,2022,40.605609,-73.754996
2,5,5,0,0,0,0,40,2022,40.749971,-73.882244
0,9,10,0,0,0,0,78,2022,40.727204,-73.863642
0,10,5,1,0,0,0,51,2022,40.844453,-73.882894
0,1,2,0,0,0,0,7,2022,40.677916,-73.87794
9,11,6,0,0,0,0,27,2022,40.88742,-73.864069
6,7,14,0,0,0,0,89,2022,40.887713,-73.907338
8,25,34,0,0,0,0,255,2022,40.680192,-73.98609
0,11,5,0,0,0,0,53,2022,40.63691,-73.948073
1,2,3,0,0,0,0,19,2022,40.634262,-73.94364
0,6,7,0,0,0,0,41,2022,40.648886,-73.950392
1,23,4,0,0,0,0,92,2022,40.893783,-73.860544
1,0,6,0,0,0,0,22,2022,40.692454,-73.929019
22,8,15,0,0,0,0,45,2022,40.672925,-73.924479
0,0,3,0,0,0,0,8,2022,40.679414,-73.748859
0,1,0,2,0,0,0,10,2022,40.822427,-73.907238
0,0,10,0,0,0,0,33,2022,40.698858,-73.944087
13,13,26,0,0,0,0,52,2022,40.689427,-73.979461
0,0,0,0,0,0,0,1046,2022,40.688566,-73.980045
7,15,9,0,0,0,0,101,2022,40.715188,-73.773394
2,9,3,0,0,0,0,45,2022,40.58476,-73.957229
0,1,1,1,0,0,0,10,2022,40.744144,-73.880096
0,3,0,0,0,0,0,7,2022,40.748529,-73.857622
11,53,24,2,0,0,0,224,2022,40.863167,-73.917886
19,112,56,3,0,0,0,474,2022,40.863178,-73.917911
0,3,0,0,0,0,0,9,2022,40.663786,-73.915042
6,14,7,0,0,0,0,155,2022,40.825306,-73.917575
0,3,0,0,0,0,0,8,2022,40.699242,-73.924197
0,1,7,2,0,0,0,35,2022,40.769275,-73.903738
1,6,10,2,0,0,0,64,2022,40.769786,-73.904419
2,1,0,0,0,0,0,10,2022,40.703174,-73.941371
1,2,0,0,0,0,0,9,2022,40.68905,-73.955053
0,3,0,0,0,0,0,7,2022,40.67567,-73.933244
2,5,0,0,0,0,0,22,2022,40.649751,-73.950524
4,4,0,0,0,0,0,25,2022,40.844045,-73.907616
9,10,5,2,0,0,0,26,2022,40.743334,-73.996186
0,7,11,2,0,0,0,20,2022,40.82735,-73.938634
2,6,2,6,1,0,0,17,2022,40.82684,-73.940272
1,1,5,4,0,0,0,11,2022,40.828467,-73.939165
0,4,4,2,0,0,0,10,2022,40.828605,-73.939107
1,0,9,0,0,0,0,10,2022,40.810318,-73.954769
1,0,9,0,0,0,0,10,2022,40.810373,-73.954729
1,0,9,0,0,0,0,10,2022,40.810425,-73.954689
0,2,10,6,0,0,0,18,2022,40.826705,-73.939361
1,9,0,0,0,0,0,10,2022,40.827328,-73.938905
5,40,79,0,0,0,0,124,2022,40.820819,-73.901137
9,26,14,5,0,0,0,54,2022,40.906251,-73.848623
2,47,23,0,0,0,0,72,2022,40.906152,-73.848258
0,81,27,0,0,0,0,614,2022,40.707675,-73.793344
0,0,10,0,0,0,0,10,2022,40.856676,-73.875859
0,1,21,8,0,0,0,30,2022,40.839982,-73.877123
0,1,15,4,0,0,0,20,2022,40.844338,-73.880085
0,10,26,10,0,0,0,46,2022,40.840814,-73.883092
27,61,15,19,18,0,0,140,2022,40.701834,-73.946854
27,138,129,27,0,0,0,321,2022,40.667286,-73.959905
19,31,20,0,0,0,0,70,2022,40.820428,-73.900141
19,34,14,0,0,0,0,68,2022,40.850968,-73.902831
12,81,45,15,0,0,0,153,2022,40.844227,-73.893184
16,116,60,16,0,0,0,208,2022,40.657206,-73.902652
0,0,15,0,0,0,0,15,2022,40.819897,-73.937044
0,0,15,0,0,0,0,15,2022,40.819936,-73.937138
0,0,15,0,0,0,0,15,2022,40.819982,-73.937247
0,0,15,0,0,0,0,15,2022,40.820015,-73.937326
0,3,3,1,0,0,0,23,2022,40.669102,-73.909628
0,6,6,0,0,0,0,37,2022,40.657918,-73.947433
26,103,77,26,0,0,0,232,2022,40.71672,-73.985646
0,0,2,0,0,0,0,6,2022,40.762465,-73.906238
4,6,10,0,0,0,0,20,2022,40.74297,-73.922545
12,49,21,7,0,0,0,360,2022,40.677928,-73.988514
12,12,29,3,0,0,0,224,2022,40.678559,-73.985961
9,45,41,13,0,0,0,108,2022,40.686811,-73.917364
0,0,3,0,0,0,0,10,2022,40.710425,-73.951929
0,0,2,0,0,0,0,6,2022,40.806744,-73.947102
